date,service,region,cost,instances,cpu_utilization
1/1/2026,EC2,ap-south-1,135,10,25
1/1/2026,EC2,us-east-1,185,8,32
1/1/2026,EC2,eu-west-1,140,7,79
1/1/2026,RDS,ap-south-1,146,5,34
1/1/2026,RDS,us-east-1,179,3,40
1/1/2026,RDS,eu-west-1,164,5,48
1/1/2026,S3,ap-south-1,21,0,0
1/1/2026,S3,us-east-1,24,0,0
1/1/2026,S3,eu-west-1,11,0,0
1/2/2026,EC2,ap-south-1,98,8,64
1/2/2026,EC2,us-east-1,165,10,61
1/2/2026,EC2,eu-west-1,103,4,58
1/2/2026,RDS,ap-south-1,114,2,30
1/2/2026,RDS,us-east-1,96,3,61
1/2/2026,RDS,eu-west-1,134,5,26
1/2/2026,S3,ap-south-1,14,0,0
1/2/2026,S3,us-east-1,29,0,0
1/2/2026,S3,eu-west-1,44,0,0
1/3/2026,EC2,ap-south-1,102,10,57
1/3/2026,EC2,us-east-1,471,10,35
1/3/2026,EC2,eu-west-1,83,4,40
1/3/2026,RDS,ap-south-1,72,1,17
1/3/2026,RDS,us-east-1,103,1,22
1/3/2026,RDS,eu-west-1,198,1,62
1/3/2026,S3,ap-south-1,19,0,0
1/3/2026,S3,us-east-1,26,0,0
1/3/2026,S3,eu-west-1,33,0,0
1/4/2026,EC2,ap-south-1,189,5,50
1/4/2026,EC2,us-east-1,176,3,77
1/4/2026,EC2,eu-west-1,81,7,82
1/4/2026,RDS,ap-south-1,148,3,21
1/4/2026,RDS,us-east-1,200,4,29
1/4/2026,RDS,eu-west-1,102,1,54
1/4/2026,S3,ap-south-1,19,0,0
1/4/2026,S3,us-east-1,46,0,0
1/4/2026,S3,eu-west-1,23,0,0
1/5/2026,EC2,ap-south-1,101,2,48
1/5/2026,EC2,us-east-1,120,3,58
1/5/2026,EC2,eu-west-1,162,9,49
1/5/2026,RDS,ap-south-1,112,3,29
1/5/2026,RDS,us-east-1,195,5,58
1/5/2026,RDS,eu-west-1,193,3,53
1/5/2026,S3,ap-south-1,30,0,0
1/5/2026,S3,us-east-1,45,0,0
1/5/2026,S3,eu-west-1,45,0,0
1/6/2026,EC2,ap-south-1,170,2,28
1/6/2026,EC2,us-east-1,80,5,47
1/6/2026,EC2,eu-west-1,84,5,67
1/6/2026,RDS,ap-south-1,137,4,45
1/6/2026,RDS,us-east-1,64,1,54
1/6/2026,RDS,eu-west-1,124,1,30
1/6/2026,S3,ap-south-1,25,0,0
1/6/2026,S3,us-east-1,49,0,0
1/6/2026,S3,eu-west-1,50,0,0
1/7/2026,EC2,ap-south-1,195,10,35
1/7/2026,EC2,us-east-1,89,5,74
1/7/2026,EC2,eu-west-1,151,3,37
1/7/2026,RDS,ap-south-1,71,5,34
1/7/2026,RDS,us-east-1,195,4,49
1/7/2026,RDS,eu-west-1,81,4,61
1/7/2026,S3,ap-south-1,28,0,0
1/7/2026,S3,us-east-1,21,0,0
1/7/2026,S3,eu-west-1,35,0,0
1/8/2026,EC2,ap-south-1,87,6,75
1/8/2026,EC2,us-east-1,176,7,49
1/8/2026,EC2,eu-west-1,195,8,76
1/8/2026,RDS,ap-south-1,86,3,15
1/8/2026,RDS,us-east-1,81,1,29
1/8/2026,RDS,eu-west-1,116,3,17
1/8/2026,S3,ap-south-1,24,0,0
1/8/2026,S3,us-east-1,18,0,0
1/8/2026,S3,eu-west-1,21,0,0
1/9/2026,EC2,ap-south-1,197,5,21
1/9/2026,EC2,us-east-1,192,6,77
1/9/2026,EC2,eu-west-1,89,6,65
1/9/2026,RDS,ap-south-1,105,1,63
1/9/2026,RDS,us-east-1,186,1,28
1/9/2026,RDS,eu-west-1,91,3,44
1/9/2026,S3,ap-south-1,41,0,0
1/9/2026,S3,us-east-1,12,0,0
1/9/2026,S3,eu-west-1,34,0,0
1/10/2026,EC2,ap-south-1,169,6,68
1/10/2026,EC2,us-east-1,167,7,48
1/10/2026,EC2,eu-west-1,86,9,76
1/10/2026,RDS,ap-south-1,174,3,48
1/10/2026,RDS,us-east-1,199,2,45
1/10/2026,RDS,eu-west-1,161,5,48
1/10/2026,S3,ap-south-1,43,0,0
1/10/2026,S3,us-east-1,24,0,0
1/10/2026,S3,eu-west-1,33,0,0
1/11/2026,EC2,ap-south-1,91,9,40
1/11/2026,EC2,us-east-1,198,7,49
1/11/2026,EC2,eu-west-1,101,3,35
1/11/2026,RDS,ap-south-1,172,4,55
1/11/2026,RDS,us-east-1,198,3,47
1/11/2026,RDS,eu-west-1,85,1,20
1/11/2026,S3,ap-south-1,49,0,0
1/11/2026,S3,us-east-1,31,0,0
1/11/2026,S3,eu-west-1,29,0,0
1/12/2026,EC2,ap-south-1,87,5,51
1/12/2026,EC2,us-east-1,163,7,48
1/12/2026,EC2,eu-west-1,144,10,23
1/12/2026,RDS,ap-south-1,198,2,18
1/12/2026,RDS,us-east-1,117,1,36
1/12/2026,RDS,eu-west-1,88,5,70
1/12/2026,S3,ap-south-1,10,0,0
1/12/2026,S3,us-east-1,47,0,0
1/12/2026,S3,eu-west-1,49,0,0
1/13/2026,EC2,ap-south-1,84,2,29
1/13/2026,EC2,us-east-1,156,7,68
1/13/2026,EC2,eu-west-1,136,4,32
1/13/2026,RDS,ap-south-1,187,3,36
1/13/2026,RDS,us-east-1,194,2,54
1/13/2026,RDS,eu-west-1,123,5,24
1/13/2026,S3,ap-south-1,37,0,0
1/13/2026,S3,us-east-1,32,0,0
1/13/2026,S3,eu-west-1,50,0,0
1/14/2026,EC2,ap-south-1,170,8,39
1/14/2026,EC2,us-east-1,172,3,24
1/14/2026,EC2,eu-west-1,109,2,62
1/14/2026,RDS,ap-south-1,197,4,31
1/14/2026,RDS,us-east-1,132,1,19
1/14/2026,RDS,eu-west-1,158,3,36
1/14/2026,S3,ap-south-1,26,0,0
1/14/2026,S3,us-east-1,47,0,0
1/14/2026,S3,eu-west-1,30,0,0
1/15/2026,EC2,ap-south-1,200,5,80
1/15/2026,EC2,us-east-1,127,8,83
1/15/2026,EC2,eu-west-1,134,10,83
1/15/2026,RDS,ap-south-1,71,4,44
1/15/2026,RDS,us-east-1,189,2,52
1/15/2026,RDS,eu-west-1,182,3,19
1/15/2026,S3,ap-south-1,41,0,0
1/15/2026,S3,us-east-1,41,0,0
1/15/2026,S3,eu-west-1,37,0,0
1/16/2026,EC2,ap-south-1,189,4,30
1/16/2026,EC2,us-east-1,118,5,85
1/16/2026,EC2,eu-west-1,149,5,24
1/16/2026,RDS,ap-south-1,91,1,69
1/16/2026,RDS,us-east-1,114,2,59
1/16/2026,RDS,eu-west-1,185,4,34
1/16/2026,S3,ap-south-1,16,0,0
1/16/2026,S3,us-east-1,37,0,0
1/16/2026,S3,eu-west-1,37,0,0
1/17/2026,EC2,ap-south-1,494,8,83
1/17/2026,EC2,us-east-1,192,5,72
1/17/2026,EC2,eu-west-1,153,6,31
1/17/2026,RDS,ap-south-1,71,4,40
1/17/2026,RDS,us-east-1,147,4,18
1/17/2026,RDS,eu-west-1,163,3,41
1/17/2026,S3,ap-south-1,34,0,0
1/17/2026,S3,us-east-1,16,0,0
1/17/2026,S3,eu-west-1,45,0,0
1/18/2026,EC2,ap-south-1,108,6,39
1/18/2026,EC2,us-east-1,123,6,42
1/18/2026,EC2,eu-west-1,495,4,72
1/18/2026,RDS,ap-south-1,115,1,45
1/18/2026,RDS,us-east-1,105,2,40
1/18/2026,RDS,eu-west-1,110,3,66
1/18/2026,S3,ap-south-1,49,0,0
1/18/2026,S3,us-east-1,47,0,0
1/18/2026,S3,eu-west-1,30,0,0
1/19/2026,EC2,ap-south-1,161,2,43
1/19/2026,EC2,us-east-1,183,5,69
1/19/2026,EC2,eu-west-1,190,10,64
1/19/2026,RDS,ap-south-1,194,2,39
1/19/2026,RDS,us-east-1,128,1,51
1/19/2026,RDS,eu-west-1,97,2,25
1/19/2026,S3,ap-south-1,22,0,0
1/19/2026,S3,us-east-1,21,0,0
